"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"143","Szent Jakab apostol","2","07-25","Misekönyv 661. oldal<br>
Jézus a Galileai-tenger mellett járva meglátta
Jakabot, Zebedeus fiát és testvérét, Jánost,
amint hálóikat javították,
és magához hívta őket. (Vö. Mt 4,18.21)","Mindenható, örök Istenünk,
rendelésedből Szent Jakab az apostolok közül
elsőként ontotta vérét és áldozta életét az Evangéliumért.
Hitvallásával erősítsd,
folytonos pártfogásával pedig oltalmazd Egyházadat.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, tisztíts meg minket
Fiad szenvedésének üdvösségszerző
keresztségével,
hogy Szent Jakab ünnepén,
akit apostolaid közül elsőnek tettél
Fiad kelyhének részesévé,
kedves áldozatot mutassunk be neked.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Ittak az Úr kelyhéből,
és Isten barátai lettek. 
(Vö. Mt 20,22. 23)","Kérünk, Urunk, Istenünk, segíts meg minket
Szent Jakab apostol közbenjárására,
akinek ünnepén örömmel vettünk részt
szent lakomádon.
Krisztus, a mi Urunk által."
"144","Szent Joakim és Szent Anna, a Boldogságos Szűz Mária szülei","3","07-26",,,,,,
"145","Szent Charbel Makhlouf áldozópap","4","07-27",,,,,,
"146","Szent Márta","3","07-29",,,,,,
"147","Aranyszavú (Krizológ) Szent Péter püspök
és egyháztanító","4","07-30",,,,,,
"148","Loyolai Szent Ignác áldozópap","3","07-31",,,,,,
"149","Liguori Szent Alfonz Mária püspök és egyháztanító","3","08-01",,,,,,
"150","Vercelli Szent Özséb püspök","4","08-02a",,,,,,
"151","Szent Eymard Julián Péter áldozópap","4","08-02b",,,,,,
"152","Vianney Szent János Mária áldozópap","3","08-04",,,,,,
"153","Szűz Mária római főtemplomának felszentelése (Havas Boldogasszony)","4","08-05",,,,,,
"154","Urunk színeváltozása","2","08-06","Misekönyv 669. oldal<br>
A ragyogó felhőben megjelent a Szentlélek,
és az Atya hangja hallatszott:
Ez az én szeretett Fiam, akiben kedvem telik, őt hallgassátok. (Vö. Mt 17,5)","Istenünk, te egyszülött Fiad dicsőséges színeváltozásakor
Mózes és Illés tanúságtételével
erősítetted meg hitünk szent titkait,
és csodálatos reménységet nyújtottál,
hogy gyermekeiddé fogadsz minket.
Add meg nekünk,
hogy szeretett Fiad szavára hallgatva,
társörökösei lehessünk Krisztusnak.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, szenteld meg adományainkat,
amelyeket bemutatunk neked
egyszülött Fiad dicsőséges színeváltozásának ünnepén.
Tisztíts meg minket a bűn szennyétől
az ő tündöklő ragyogásával.
Krisztus, a mi Urunk által.","Misekönyv 670. oldal<br>
<i>A színeváltozás misztériuma.</i><br>
Az Úr legyen veletek.	H.: És a te lelkeddel.<br>
Emeljük föl szívünket.	H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.	H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
– Krisztus, a mi Urunk által.
<br>
Ő a kiválasztott tanúk előtt isteni dicsőségét feltárta,
és ragyogó fénybe öltöztette a mienkhez hasonló testét,
hogy a tanítványok szívét a kereszt botrányától megóvja,
és önmagában mint az Egyház Fejében
–  mutassa meg a dicsőségnek azt a fényét,
amely majd egyszer beragyogja az Egyház egész testét.
<br>
(És) Ezért a mennyei hatalmas angyalokkal együtt
a földön mi is szüntelenül magasztalunk téged,
–  fölségedet dicsérjük,
és hangos szóval vég nélkül mondjuk (zengjük):","Amikor ismét megjelenik az Úr,
hasonlók leszünk hozzá,
mert úgy látjuk majd őt, amint van. 
(Vö. 1Jn 3,2)","Kérünk, Istenünk,
hogy a mennyei táplálék, amelyet magunkhoz vettünk,
alakítson minket hasonlóvá szent Fiadhoz,
akinek isteni dicsőségét
színeváltozásával akartad megmutatni.
Aki él és uralkodik mindörökkön örökké."
"155","Szent II. Szixtusz pápa és társai vértanúk","4","08-07a",,,,,,
"156","Szent Kajetán áldozópap","4","08-07b",,,,,,
"157","Szent Domonkos áldozópap","3","08-08",,,,,,
"158","A keresztről nevezett Szent Teréz Benedikta (Edith Stein) szűz és vértanú, Európa társvédőszentje","2","08-09","Misekönyv 673. oldal<br>
Semmi másban nem dicsekedhetünk,
mint a mi Urunk, Jézus Krisztus keresztjében.<br>
Általa keresztre szegezték a világot,
és engem is a világnak.<br>
(Gal 6,14)","Atyáink Istene, aki Szent Terézia Benedikta
vértanúdnak megadtad,
hogy keresztre feszített Fiadat megismerje,
és egészen a halálig kövesse.
Közbenjárására add, hogy Krisztust
minden ember elismerje Üdvözítőjének,
és általa eljusson örök színelátásodra.
Aki veled él és uralkodik a Szentlélekkel egységben, Isten mindörökkön örökké.","Szent Terézia Benedikta vértanúd ünnepén
felajánljuk neked, Istenünk, adományainkat.
Fogadd el jóságosan és legyen kedves előtted,
aki a sokféle ószövetségi áldozatot
azzal az egyetlen tökéletes áldozattal teljesítetted be,
amelyet Fiad az ő vérével mutatott be neked.
Aki él és uralkodik mindörökkön örökké.",,"Ha a halál sötét völgyében is járok,
nem félek semmi bajtól, mert te velem vagy. (Zsolt 22,4)","Irgalmas Istenünk,
engedd, hogy amikor Szent Teréz Benedikta
vértanút tiszteljük, a dicsőséges keresztfának
gyümölcsei erősítsék meg szívünket,
hogy hozzád hűségesen ragaszkodjunk a földön,
és méltók legyünk arra,
hogy az örök hazába eljutva az élet fájáról együnk.
Krisztus, a mi Urunk által."
"159","Szent Lórinc diakónus és vértanú","2","08-10","Misekönyv 674. oldal<br>
Íme, Szent Lőrinc,
aki életét az Egyház szegényeinek szolgálatára szentelte,
ezért a vértanúság lett jutalma,
hogy ragyogó arccal lépjen az Úr Jézus Krisztus elé.","Istenünk, a te szereteted tüze Szent Lőrincet
hűségessé tette a szolgálatban és dicsőségessé a vértanúságban.
Add, hogy szeressük, amit ő szeretett,
és váltsuk tettekre, amit tanított.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, fogadd jószívvel adományainkat,
amelyeket örömmel ajánlunk fel neked
Szent Lőrinc diakónus ünnepén,
s add, hogy üdvösségünkhöz közelebb segítsenek.
Krisztus, a mi Urunk által.",,"Aki nekem szolgál, az engem kövessen,
s ahol én vagyok, ott lesz az én szolgám is - mondja az Úr. (Vö. Jn 12,26)","Szent ajándékaiddal eltelve, kérve kérünk, Istenünk,
hogy amint Szent Lőrinc diakónus ünnepén
köteles szolgálatunkat bemutatjuk előtted,
érezzük magunkban megváltó kegyelmed növekedését.
Krisztus, a mi Urunk által."
"160","Szent Klára szűz","3","08-11",,,,,,
"161","Chantal Szent Johanna Franciska szerzetesnő","4","08-12",,,,,,
"162","Boldog XI. Ince pápa","3","08-13",,,,,,
"163","Szent Maximilián Mária Kolbe áldozópap és vértanú","3","08-14",,,,,,
"164","Szűz Mária mennybevétele (Nagyboldogasszony)","1","08-15","Misekönyv 679. oldal<br>
Nagy jel tűnt fel az égen:
egy Napba öltözött asszony,
kinek lába alatt a Hold,
és fején tizenkét csillagból korona. 
(Vö. Jel 12,1)
<br><br>
<i>Vagy:</i><br>
Örvendezzünk mindnyájan az Úrban
ünnepi napot ülvén
Nagyboldogasszony tiszteletére,
kinek Mennybevételén örülnek az angyalok,
és magasztalják az Istennek Fiát.
","Mindenható, örök Isten,
te a Szeplőtelen Szűz Máriát, Fiad édesanyját
testével-lelkével az örök dicsőségbe emelted.
Add, hogy mindenkor az odafönt valókra törekedjünk,
és egykor vele együtt részesei lehessünk dicsőségednek.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, jussanak eléd hódoló adományaink,
és a mennybe fölvett Boldogasszony közbenjárására
a szeretet tegye lángolóvá és emelje hozzád szívünket.
Krisztus, a mi Urunk által.","Misekönyv 680. oldal<br>
<i>A dicsôséges Mennybefelvett Szűz Mária</i><br>
Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
– Krisztus, a mi Urunk által.<br>

Mert ezen a napon az Istenszülő Szüzet fölvetted a mennybe,
így ő lett Egyházad megdicsőülésének kezdete és példája,
–  zarándok néped vigasza, és biztos reménye.
<br>
A romlástól méltán óvtad meg az ő testét,
mert csodálatosan világra hozta,
– megtestesült Fiadat, minden élet szerzőjét.
<br>
(És) Ezért mi is az angyalok kórusához társulunk,
– dicsőítünk Téged,
és ujjongva mondjuk (zengjük):","Boldognak hirdet engem minden nemzedék,
mert nagyot tett velem a Hatalmas. 
(Lk 1,48-49)","Urunk, Istenünk, magunkhoz vettük üdvösségszerző szentségedet.
Add, kérünk, hogy a mennybe fölvett Boldogasszony közbenjárására
a feltámadás dicsőségébe jussunk.
Krisztus, a mi Urunk által."
"165","Szent Ponciánusz pápa és Szent Hippolitusz áldozópap vértanúk","4","08-16",,,,,,
"166","Eudes Szent János áldozópap","4","08-18",,,,,,
"167","Szent Bernát apát és egyháztanító","3","08-19",,,,,,
"168","Szent István király, Magyarország fővédőszentje","1","08-20","Misekönyv 683. oldal<br>
Boldog az a nemzet, amelynek az Úr az Istene,
a nép, amelyet örökségül választott magának. (Zsolt 32,12)","Istenünk, te Szent István királyt
itt a földön országunk koronájával ékesítetted
és szentjeid közé emelted.
Add kérünk, hogy aki a keresztény hit terjesztője volt hazánkban,
legyen Egyházad védelmezője a mennyben.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, tekints kegyesen áldozatunkra,
amelyet Fölségednek bemutatunk.
Szent István király közbenjárására
védj meg minket minden ellenséges cselvetéstől,
és add meg nekünk egykor jutalmul az örök életet.
Krisztus, a mi Urunk által.","Misekönyv 684. oldal<br>
<i>Szent István az igazság útján vezet.</i><br>
Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–  mi Urunk, szentséges ATYánk,
mindenható, örök Isten:<br>

Te Szent István királyt adtad vezetőnknek az igazság útján,
hogy meglássuk az éji homályban a krisztusi hajnal fényét,
–  és egyenes ösvényen járva,
örök hazára és otthonra leljünk.
<br>
Ő megtanított, hogy levessük magunkról a régi embert,
és kősziklára építsünk országot és életet,
–  hogy minden vihart rendületlenül álljunk,
  Krisztus, a mi Urunk által.
<br>
(És) Ezért nemzetünk szentjeivel és az üdvözült lelkek egész seregével együtt
–  most és mindörökké hálás szívvel zengjük,
és hangos szóval mondjuk (énekeljük):","A mi lelkünk az Úrban bízik,
ő a mi segítőnk, a mi oltalmunk,
őbenne vigad a szívünk. (Zsolt 32,20-21)","Atyáink Istene,
jóságodból részesültünk a szent áldozat gyümölcsében.
Védelmezd népedet, amelyet Szent István király tanítása által
a sötétségből az igaz hit világosságára vezettél,
és a földi élet után fogadd be jóságosan mennyei országodba.
Krisztus, a mi Urunk által."
"169","Szent X. Piusz pápa","3","08-21",,,,,,
"170","Boldogságos Szűz Mária királynő","3","08-22",,,,,,
"171","Limai Szent Róza szűz","4","08-23",,,,,,
"172","Szent Bertalan apostol","2","08-24","Misekönyv 687. oldal<br>
Napról napra hirdessétek Isten üdvösségét,
hirdessétek dicsőségét a nemzetek között. (Vö. Zsolt 95,2.3)","Urunk, Istenünk, erősítsd bennünk azt a hitet,
amellyel Szent Bertalan apostol mindhalálig ragaszkodott Fiadhoz.
Közbenjárására add,
hogy Egyházad híven szolgálja minden nép üdvösségét.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Szent Bertalan apostol ünnepét megülve, Istenünk, arra kérünk,
hogy elnyerhessük segítségedet annak közbenjárására,
akinek tiszteletére ezt a dicsérő áldozatot bemutatjuk előtted.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Nektek adom az országot,
amint nekem adta Atyám,
hogy asztalomnál egyetek és igyatok országomban
– mondja az Úr. (Lk 22,29-30)","Urunk, Istenünk, Szent Bertalan apostol ünnepén
magunkhoz vettük az örök élet zálogát.
Kérünk, legyen az
mind jelen, mind eljövendő életünk segítője.
Krisztus, a mi Urunk által."
"173","Szent Lajos","4","08-25",,,,,,
"174","Kalazanci Szent József áldozópap","4","08-25b",,,,,,
"175","Szent Mónika","3","08-27",,,,,,
"176","Szent Ágoston püspök és egyháztanító","3","08-28",,,,,,
"177","Keresztelő Szent János vértanúsága","3","08-29",,,,,,
"178","Nagy Szent Gergely pápa és egyháztanító","3","09-03",,,,,,
"179","Kalkuttai Szent Teréz szűz","4","09-05",,,,,,
"180","Szent Márk, Szent István és Szent Menyhért áldozópapok, kassai vértanúk","2","09-07","Misekönyv 695. oldal<br>
Az igazak üdve az Úrtól való,
az Úr oltalmazza őket szenvedés idején. (Zsolt 36,39)","Urunk, Istenünk, segíts meg minket
Boldog Márk, István és Menyhért kassai vértanúk
	közbenjáró imájára,
hogy akiknek győzelmét örvendezve ünnepeljük,
azoknak állhatatos hitét is kövessük.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
szálljon bőséges áldásod ezekre az adományokra,
és újítson meg minket szeretetedben
boldog vértanúid példájára.
Krisztus, a mi Urunk által.","II. prefáció a szent vértanúkról, Misekönyv 466. oldal","Aki elveszíti életét értem és az evangéliumért,
az megmenti életét – mondja az Úr. (Vö. Mk 8,35)","Urunk, Istenünk, a mennyei szentség megújított minket,
és örömmel töltötte el lelkünket.
Add, hogy részesedjünk szent vértanúid dicsőségében,
amelynek zálogát e szent titkokban elnyertük.
Krisztus, a mi Urunk által."
"181","Szűz Mária születése (Kisboldogasszony)","2","09-08","Misekönyv 696. oldal<br>
Üljük meg vigadozva
a Boldogságos Szűz Mária születésének ünnepét,
mert belőle támadt üdvösségünk Napja,
Krisztus, a mi Istenünk.","Kérünk, Istenünk, add meg nekünk, házad népének
mennyei kegyelmed ajándékát,
hogy akik számára a Boldogságos Szűz istenanyaságában
felvirradt az üdvösség hajnala,
azokat békével áldja meg az ő születésének ünnepe.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk és Istenünk, egyszülött Fiad embersége legyen segítségünkre,
hogy aki Szűztől születvén
anyjának érintetlenségét nem csorbította, hanem megszentelte,
az emeljen ki minket vétkeinkből,
és áldozatunkat tegye kedvessé előtted.
Aki él és uralkodik mindörökkön örökké.
<br>
<i>Vagy</i><br>
Örömmel üljük a Boldogságos Szűz Mária
születésének ünnepét,
és áldozatunkat fölajánlva kérünk,
hogy emberszeretetével
siessen segítségünkre a te Fiad,
aki a Szent Szűztől született erre a világra.
Aki veled él és uralkodik mindörökkön örökké.","I. prefáció a Boldogságos Szűz Máriáról (és a Boldogságos, mindenkor
Szűz Mária születésének ünnepén), Misekönyv 457. oldal, vagy II., 458. oldal","Íme, a Szűz Fiút szül,
aki megszabadítja népét bűneitől. 
(Iz 7,14; Mt 1,21)","Urunk, Istenünk, add, hogy Egyházad,
amelybe szent lakomáddal új erőt öntöttél,
méltán örvendezzék a Boldogságos Szűz Mária születésének,
mert ő lett az egész világ reménye és üdvösségünk hajnala.
Krisztus, a mi Urunk által. "
"182","Claver Szent Péter áldozópap","4","09-09",,,,,,
"183","Szűz Mária szent neve","3","09-12",,,,,,
"184","Aranyszájú (Krizosztomosz) Szent János püspök és egyháztanító","3","09-13",,,,,,
"185","A Szent Kereszt felmagasztalása","1","09-14","Misekönyv 700. oldal<br>
Mi pedig dicsekedjünk
Urunk, Jézus Krisztus keresztjében,
benne van üdvösségünk,
életünk és feltámadásunk,
mert általa van megváltásunk és szabadulásunk. (Vö. Gal 6,14)","Istenünk, te azt akartad, hogy egyszülött Fiad
a kereszten váltsa meg az emberiséget.
Add, hogy mi,
akik megismertük szeretetének titkát itt a földön,
elnyerjük az üdvösséget a mennyben.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk,
tisztítson meg minket minden bűnünktől ez az áldozat,
mely a kereszt oltárán az egész világ vétkét eltörölte.
Krisztus, a mi Urunk által.","Misekönyv 700. oldal<br>
<i>A dicsőséges szent kereszt győzelme</i>.
<br>Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
–  mi Urunk, szentséges ATYánk,
mindenható, örök Isten:
<br>
Te úgy akartad, hogy az emberi nem üdvösségét a keresztfa hozza meg,
hogy ahonnan a halál származott, onnan támadjon az élet:
– a bűn fáján győztes sátánt
a kereszt fáján győzze le Urunk, Jézus Krisztus.
<br>
A te fölségedet általa dicsérik az angyalok,
és imádják az uralkodó szellemek,
az égi hatalmak rettegik;
a mennyei seregek, az ég erői s a boldog szeráfkórusok
– ujjongva együtt tisztelik.
Add, kérünk, hogy az ő szavukhoz társuljon szózatunk,
– és alázatos megvallással mondjuk (zengjük):","Ha majd felmagasztalnak a földről,
mindent magamhoz vonzok – mondja az Úr. 
(Jn 12,32)","Szent asztalodról tápláltál minket, Urunk, Jézus Krisztus.
Kérve kérünk,
hogy akiket életadó kereszted által megváltottál,
vezesd el azokat a feltámadás dicsőségére.
Aki élsz és uralkodol mindörökkön örökké."
"186","A fájdalmas Szűzanya","3","09-15",,,,,,
"187","Szent Kornél pápa és Szent Ciprián püspök vértanúk","3","09-16",,,,,,
"188","Bellarmin Szent Róbert püspök és egyháztanító","4","09-17",,,,,,
"189","Szent Januáriusz püspök és vértanú","4","09-19",,,,,,
"190","Kim Taegon Szent András áldozópap,
Csong Haszang Szent Pál és társaik, koreai vértanúk","3","09-20",,,,,,
"191","Szent Máté apostol és evangélista","2","09-21","Misekönyv 706. oldal<br>
Menjetek, tegyétek tanítványommá mind a népeket!
Kereszteljétek meg őket, és tanítsátok meg őket
mindannak megtartására,
amit parancsoltam nektek –  mondja az Úr. (Vö. Mt 28,19-20)","Istenünk, te mérhetetlen irgalmaddal
apostolaid közé választottad Mátét, a vámost.
Add, hogy példája és közbenjárása támogasson minket,
és téged követve, egyre hűségesebben ragaszkodjunk hozzád.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
Szent Máté apostolt ünnepelve
eléd hoztuk imádságainkat és áldozati adományainkat.
Kérve kérünk,
tekints kegyesen Egyházadra,
amelynek hitét az apostolok igehirdetésével alapoztad meg.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Nem azért jöttem, hogy az igazakat hívjam,
hanem hogy a bűnösöket –  mondja az Úr.
(Mt 9,13)","Urunk, Istenünk, részesei lettünk annak az üdvösséges örömnek,
amellyel Szent Máté apostol
boldogan látta vendégül az Üdvözítőt.
Add, hogy mindig megerősítsen minket eledelével Krisztus,
aki nem azért jött, hogy az igazakat hívja,
hanem hogy a bűnösöket üdvözítse.
Aki él és uralkodik mindörökkön örökké."
"192","Pietrelcinai Szent Pio áldozópap","3","09-23",,,,,,
"193","Szent Gellért püspök és vértanú","2","09-24","Miskeönyv 708. oldal<br>
Ez a szent halálig küzdött
Istenének törvényéért,
nem félt a gonoszok szavától,
mert életének alapja szilárd kőszikla volt.","Istenünk, te a vértanúság győzelmével koronáztad
és a halhatatlanság dicsőségével övezted Szent Gellért püspököt.
Engedd jóságosan, hogy akinek emlékét
áhítatos lélekkel ünnepeljük itt a földön,
annak örök oltalma védelmezzen a mennyben.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, szenteld meg felajánlott adományainkat.
Szent Gellért püspök és vértanú közbenjárására
védj meg minket minden veszedelemtől.
Krisztus, a mi Urunk által.","A vértanúkról, Misekönyv 465. oldal","Aki követni akar, tagadja meg magát,
vegye fel keresztjét és kövessen –  mondja az Úr. (Mt 16,24)","Urunk, Istenünk, betöltötted családodat
Fiad drága Testének és Vérének lakomájával.
Add, kérünk, hogy Szent Gellért püspök
és vértanú közbenjárása
lelkünk és testünk javára és üdvösségére váljék. Krisztus, a mi Urunk által."
"194","Szent Kozma és Damján vértanúk","4","09-26",,,,,,
"195","Páli Szent Vince áldozópap","3","09-27",,,,,,
"196","Szent Vencel vértanú","4","09-28a",,,,,,
"197","Ruiz Szent Lőrinc és társai, Fülöp-szigeteki vértanúk","4","09-28b",,,,,,
"198","Szent Mihály, Szent Gábor és Szent Rafael főangyalok","2","09-29","Misekönyv 713. oldal<br>Áldjátok az Urat, angyalai, mind,
ti hatalmasok, akik teljesítitek szavát,
mihelyt parancsának hangját meghalljátok.
(Vö. Zsolt 102,20)","Istenünk, te csodálatos bölcsességgel elrendezed
az angyalok és az emberek szolgálatát.
Engedd, hogy angyalaid,
akik a mennyben folytonosan szolgálnak neked,
itt a földön szüntelenül oltalmazzák életünket.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Felajánljuk neked, Istenünk, a dicsérő áldozatot,
és kérve kérünk,
hogy azt szívesen fogadd,
angyalaiddal vitesd fölséges színed elé,
és fordítsd üdvösségünkre.
Krisztus, a mi Urunk által.","Az angyalokról, Misekönyv 459. oldal","Hálát adok neked, Uram, teljes szívemből,
angyalaid színe előtt magasztallak.
(Zsolt 137,1)","Mennyei kenyérrel tápláltál minket, Urunk, Istenünk.
Engedd, hogy ennek erejében megújulva
angyalaidnak hűséges oltalma alatt
bátran haladjunk előre az üdvösség útján.
Krisztus, a mi Urunk által. "
"199","Szent Jeromos áldozópap és egyháztanító","3","09-30",,,,,,
"200","A Gyermek Jézusról nevezett (Lisieux-i) Szent Teréz szűz és egyháztanító","3","10-01",,,,,,
"201","Szent Őrzőangyalok","3","10-02",,,,,,
"202","Assisi Szent Ferenc","3","10-04",,,,,,
"203","Szent Brúnó áldozópap","4","10-06",,,,,,
"204","Rózsafüzér Királynője","3","10-07",,,,,,
"205","Szűz Mária, Magyarok Nagyasszonya, Magyarország főpátrónája","1","10-08","Misekönyv 720. oldal<br>
Örvendezzünk mindnyájan az Úrban,
ünnepi napot ülvén
Magyarok Nagyasszonya tiszteletére,
kinek ünnepén örülnek az angyalok,
és magasztalják az Istennek Fiát.","Istenünk, te a Boldogságos Szűz Mária közbenjárására
népünket számtalan jótéteménnyel halmoztad el.
Szent István, első királyunk rendeléséből
Nagyasszonyunknak és Pártfogónknak tiszteljük őt a földön.
Add jóságosan,
hogy egykor vele együtt örökké örvendezzünk a mennyben.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Gondviselő Istenünk,
felajánljuk Fölségednek Jézust, a szeplőtelen Bárányt,
és arra kérünk,
hogy a Boldogságos Szűzanya közbenjárására
őseink hitében megerősödjünk,
és mindnyájan az igazságban egységre jutva,
ugyanezzel az üdvösséges eledellel táplálkozzunk.
Krisztus, a mi Urunk által.","I. prefáció a Boldogságos Szűz Máriáról (és a Boldogságos, mindenkor
Szűz Máriának ünnepén), 457. oldal, vagy II., 458. oldal","Világnak legszentebb Királynője, Mária,
könyörögj Krisztushoz, akit te szültél,
imádkozz Urunkhoz, minden ember Megváltójához,
hogy adjon nekünk békét és üdvösséget.","Kérünk, Istenünk, segítse népedet
a Boldogságos, mindenkor Szűz Máriának,
Nagyasszonyunknak és Pátronánknak kegyes közbenjárása,
hogy mi, akiket jótéteményekkel szüntelenül elhalmozott,
minden veszélytől megszabaduljunk,
és egyetértők legyünk az ő szeretetében.
Krisztus, a mi Urunk által."
"206","Szent Dénes püspök és társai vértanúk","4","10-09a",,,,,,
"207","Leonardi Szent János áldozópap","4","10-09b",,,,,,
"208","Szent XXIII. János pápa","4","10-11",,,,,,
"209","Szent I. Kallixtusz pápa és vértanú","4","10-14",,,,,,
"210","A Jézusról nevezett (Avilai) Szent Teréz szűz és egyháztanító","3","10-15",,,,,,
"211","Szent Hedvig szerzetesnő","4","10-16a",,,,,,
"212","Alacoque Szent Margit Mária szűz","4","10-16b",,,,,,
"213","Antiochiai Szent Ignác püspök és vértanú","3","10-17",,,,,,
"214","Szent Lukács evangélista","2","10-18","Misekönyv 726. oldal<br>
Milyen szép a hegyeken annak lába,
aki békét hirdet, aki örömhírt hoz
és szabadulást hirdet. (Iz 52,7)","Urunk, Istenünk, te Szent Lukácsot kiválasztottad,
hogy igehirdetésével és írásaival
hirdesse a szegények iránti szeretetedet.
Add, hogy minden keresztény egy szív, egy lélek legyen,
és minden nép meglássa az üdvösséget.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Add meg, kérünk, Istenünk,
hogy mennyei ajándékaid erejéből szabad szívvel szolgáljunk neked.
Legyenek ezek az adományok,
melyeket Szent Lukács ünnepén eléd hozunk,
hathatós oltalmunkra és dicsőségünkre.
Krisztus, a mi Urunk által.","II. prefáció az apostolokról, Misekönyv 462. oldal.","Az Úr elküldte tanítványait minden városba,
hogy hirdessék: elközelgett hozzátok
az Isten országa.
(Vö. Lk 10,1.9)","Add meg, kérünk, mindenható Istenünk,
hogy szentté tegyen minket ez a kenyér,
melyet oltárodról kaptunk,
és erősítsen meg az evangélium hitében,
amelyet Szent Lukács hirdetett.
Krisztus, a mi Urunk által."
"215","De Brébeuf Szent János és Jogues Szent Izsák áldozópapok
és társaik, észak-amerikai vértanúk","4","10-19",,,,,,
"216","Keresztes Szent Pál áldozópap","4","10-19b",,,,,,
"217","Kapisztrán Szent János áldozópap","3","10-23",,,,,,
"218","Claret Szent Antal Mária püspök","4","10-24",,,,,,
"219","Szent Mór püspök","3","10-25",,,,,,
